"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CENTERLINE_PITCH";"COMMENT";"DESCRIPTION";"EU_ROHS_COMPLIANCE";"MF";"MP";"NUMBER_OF_POSITIONS";"PACKAGE";"PRICE";"PRODUCT_TYPE";"PURCHASE-URL";
"D1";"BLUE_LED";"LED";"EIA-STD";"EIA-STD LED, LTST-C191TBKT";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"GREEN_LED";"LED";"EIA-STD";"EIA-STD LED, LTST-C191TBKT";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"RED_LED";"LED";"EIA-STD";"EIA-STD LED, LTST-C191TBKT";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD4";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD5";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FUD6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MGT1";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";
"MGT2";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";
"MGT3";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";
"MGT4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"Potentiometer - Examples:";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"Potentiometer - Examples:";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"1k";"R_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"1k";"R_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"1k";"R_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"SPIDISPLAY";"SCREEN";"SCREEN";"SCREEN";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW2";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"";"";"";"";"";"";"";"";"";"";"";"";"";
"USBPORT";"292303-1";"292303-1";"TE_292303-1";"CONN USB RECEPT R/A TYPE A 4POS Check availability";"In Stock";"2 mm[.078 in]";"292303-1";" Conn";" Data";" USB";" Recept";" 2.0";" 4 Pos";" 1 Port";" Rt Angle";" A Ser";
